R			rho			n1			m1			n2			m2			seps			dmax			davg			dnear			ndens			dint			rgperp			rgpar			intaln			intal			icavg			icmax			icstd			heatthr			heatstd			heatmean			heatmode			maxhole			davg2			davg3			minpor			maxpor
4			99.0			5			0			0			0			0			0.01596546446400646			0.0047771970564966229			0.01596546446400646			4			0.022152799134058491			1.7912560090872052			1.4426675625088978			0.0			0.0			0.0			0.0			0.0			0.9125			0.03186651921875			0.1348682132144266			0.0			5.4707759999999999			0.0088493253062155407			0.00059714963206207786			9.5			-1
4			99.0			5			2			0			0			0			0.035097787489535327			0.010640005567070877			0.035097787489535327			5			0.061911164946920443			2.182170985999496			1.8514484984525266			0.0			0.0			0.0			0.0			0.0			0.8625			0.067534284196428568			0.21608563587694199			0.0			5.3049340000000003			0.015584365622769502			0.0015960008350606317			4.0			-1
4			99.0			5			5			0			0			0			0.049432975652639724			0.014201520462553229			0.049432975652639724			7			0.11148761293784079			2.5832727341423007			2.4711465401687569			0.0			0.0			0.0			0.0			0.0			0.759375			0.098228457299107147			0.24057409868904434			0.0			4.6029520000000002			0.025964736774333776			0.0028403040925106459			0.5			-1
4			99.0			5			10			0			0			0			0.057396969076586604			0.016172822237459882			0.057396969076586604			10			0.17572058461887938			3.1063765931930645			3.4704271263649931			0.064285714285714279			0.0011688311688311688			0.0049536301171118988			0.020677610716663571			0.0074409505962498394			0.6875			0.11417947966517858			0.23796096638065403			0.0			4.1469529999999999			0.028684972575132906			0.0044475261153014674			0.5			-1
4			99.0			5			15			0			0			0			0.063505820502955279			0.01759828009316004			0.063505820502955279			12			0.22659718121790118			3.5554152859012871			4.3859889673233399			0.14999999999999999			0.0018749999999999999			0.0038795450679070332			0.031481197534660624			0.0087458752317793008			0.675			0.12107145852678572			0.2347308707297569			0.0			3.79827			0.034962761620466791			0.005719441030277014			-1			-1
4			99.0			5			20			0			0			0			0.066522768600026927			0.017101892810456296			0.066522768600026927			15			0.27128209728233843			3.8434226571950521			5.1787405634116093			0.94999999999999996			0.0090476190476190474			0.044893171637535312			0.17577001956852184			0.051378237455085608			0.60625			0.12973971964285713			0.23115305788442747			3.1830989999999999			3.9111090000000002			0.040022688634270095			0.0068407571241825187			0.5			-1
4			99.0			10			0			0			0			0			0.017239703411837962			0.0048532427672855032			0.017239703411837962			7			0.036813209836887684			2.5367988038341998			2.445281314579224			0.0			0.0			0.0			0.0			0.0			0.896875			0.038225613281250001			0.13181420847031095			0.0			5.1840719999999996			0.0088844157528764241			0.00097064855345710052			4.5			-1
4			99.0			10			2			0			0			0			0.035997250276239914			0.011065660036626103			0.035997250276239914			8			0.097662071874130105			3.1920926365856221			2.8358580935422286			0.0			0.0			0.0			0.0			0.0			0.84375			0.070980274129464282			0.21856569109890378			0.0			5.2345119999999996			0.016171877253379204			0.0024897735082408732			1.5			-1
4			99.0			10			5			0			0			0			0.054211371707007856			0.016272850684689817			0.054211371707007856			10			0.17698862523019171			3.6049293188260996			3.376069405294801			0.0			0.0			0.0			0.0			0.0			0.759375			0.10369940901785715			0.24073736350979569			0.0			4.4064310000000004			0.028026045967530475			0.0044750339382897009			1.0			-1
4			99.0			10			10			0			0			0			0.068003134436478221			0.020594671404810545			0.068003134436478221			13			0.28608903044357387			4.0438478285979755			4.3155053822754423			0.41428571428571431			0.0037662337662337664			0.040502350322345546			0.075191311696958432			0.024203708139313766			0.590625			0.1347843639285714			0.24005288324430074			0.0			3.9307910000000001			0.035112323638925601			0.0072081349916836897			-1			-1
